Mois,Jour,Thème,Référence (abrégée),Référence (nom complet)
Jolay,1,Manaiky ho iraka ny mpino,Eks 32.30-35,Eksodosy 32.30-35
Jolay,2,Manaiky ho iraka ny mpino,Asa 5.17-22,Asan'ny Apostoly 5.17-22
Jolay,3,Manaiky ho iraka ny mpino,1 Sam 15.1-3,1 Samoela 15.1-3
Jolay,4,Manaiky ho iraka ny mpino,Apo 10.1-11,Apokalypsy 10.1-11
Jolay,5,Manaiky ho iraka ny mpino,Jos 1.12-18,Josoa 1.12-18
Jolay,6,Manaiky ho iraka ny mpino,Jer 27.16-22,Jeremia 27.16-22
Jolay,7,Manaiky ho iraka ny mpino,Jao 1.35-42,Jaona 1.35-42
Jolay,8,Manaiky ho iraka ny mpino,1 Mpa 21.17-24,1 Mpanjaka 21.17-24
Jolay,9,Manaiky ho iraka ny mpino,2 Kor 5.16-21,2 Korintiana 5.16-21
Jolay,10,Manaiky ho iraka ny mpino,Nom 24.1-11,Nomery 24.1-11
Jolay,11,Manaiky ho iraka ny mpino,Asa 8.26-40,Asan'ny Apostoly 8.26-40
Jolay,12,Manaiky ho iraka ny mpino,Lio 5.1-11,Lioka 5.1-11
Jolay,13,Manaiky ho iraka ny mpino,Eze 33.10-16,Ezekiela 33.10-16
Jolay,14,Manaiky ho iraka ny mpino,Isa 6.1-8,Isaia 6.1-8
Jolay,15,Manaiky ho iraka ny mpino,2 Sam 12.1-15,2 Samoela 12.1-15
Jolay,16,Manaiky ho iraka ny mpino,Asa 9.10-19,Asan'ny Apostoly 9.10-19
Jolay,17,Manaiky ho iraka ny mpino,Lio 19.28-40,Lioka 19.28-40
Jolay,18,Manaiky ho iraka ny mpino,Jer 45.1-5,Jeremia 45.1-5
Jolay,19,Manaiky ho iraka ny mpino,Efe 6.14-20,Efesiana 6.14-20
Jolay,20,Manaiky ho iraka ny mpino,2 Mpa 1.9-18,2 Mpanjaka 1.9-18
Jolay,21,Manaiky ho iraka ny mpino,Mal 3.1-7,Malakia 3.1-7
Jolay,22,Manaiky ho iraka ny mpino,1 Mpa 17.8-16,1 Mpanjaka 17.8-16
Jolay,23,Manaiky ho iraka ny mpino,Lio 10.25-37,Lioka 10.25-37
Jolay,24,Manaiky ho iraka ny mpino,Isa 35.1-4,Isaia 35.1-4
Jolay,25,Manaiky ho iraka ny mpino,"1 Tes 5.14,15","1 Tesaloniana 5.14,15"
Jolay,26,Manaiky ho iraka ny mpino,Eks 3.7-14,Eksodosy 3.7-14
Jolay,27,Manaiky ho iraka ny mpino,Eks 6.1-13,Eksodosy 6.1-13
