livre,chapitre,verset,notre_texte,texte_github_concatene
mg_1,1,30,"Ary ny amin'ny bibi-dia rehetra sy ny voro-manidina rehetra ary ny zava-manan'aina rehetra izay mandady na mikisaka amin'ny tany, dia efa nomeko azy ny zava-maitso rehetra ho fihinany; dia nisy izany.","Ary ny amin'ny bibi-dia rehetra sy ny voro-manidina rehetra ary ny zava-manan'aina rehetra izay mandady na mikisaka amin'ny tany, dia efa nomeko azy ny zava-maitso rehetra ho fihinany; dia nisy izany.Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany. Dia nisy hariva, ary nisy maraina, andro fahenina izany."
mg_1,2,24,Ary noho izany ny lehilahy dia handao ny rainy sy ny reniny ka hikambana amin'ny vadiny; dia ho nofo iray ihany ireo.,"Ary noho izany ny lehilahy dia handao ny rainy sy ny reniny ka hikambana amin'ny vadiny; dia ho nofo iray ihany ireo.Ary nitanjaka izy mivady, dia ralehilahy sy ny vadiny, nefa tsy nahalala henatra izy."
mg_1,3,23,ka dia nesorin'i Jehovah Andriamanitra tamin'ny saha Edena izy hiasa ny tany izay nanalana azy.,"ka dia nesorin'i Jehovah Andriamanitra tamin'ny saha Edena izy hiasa ny tany izay nanalana azy.Eny, noroahiny ny olona; ary nampitoeriny tany atsinanan'ny saha Edena ny kerobima sy ny lelafon'ny sabatra mihebiheby hiambina ny lalana mankany amin'ny hazon'aina."
mg_1,4,25,"Ary Adama nahalala ny vadiny indray, ka dia niteraka zazalahy ravehivavy; ary ny anarany nataony hoe Seta; fa Andriamanitra, hoy izy, efa nanome ahy zanaka anankiray koa ho solon'i Abela, satria novonoin'i Kaina izy.","Ary Adama nahalala ny vadiny indray, ka dia niteraka zazalahy ravehivavy; ary ny anarany nataony hoe Seta; fa Andriamanitra, hoy izy, efa nanome ahy zanaka anankiray koa ho solon'i Abela, satria novonoin'i Kaina izy.Ary Seta koa niteraka zazalahy; ary ny anarany nataony hoe Enosy."
mg_1,5,31,Ary ny andro rehetra niainan'i Lameka dia fito amby fito-polo amby fiton-jato taona; dia maty izy.,"Ary ny andro rehetra niainan'i Lameka dia fito amby fito-polo amby fiton-jato taona; dia maty izy.Ary rehefa diman-jato taona Noa, dia niteraka an'i Sema sy Hama ary Jafeta izy."
mg_1,7,23,"Ary naringana ny zavatra velona rehetra izay tambonin'ny tany, hatramin'ny olona ka hatramin'ny biby fiompy sy ny zava-mandady na mikisaka ary ny voro-manidina; dia naringana tsy ho amin'ny tany ireny; ary Noa sy izay niara-nitoetra taminy tao anatin'ny sambo-fiara ihany no sisa velona.","Ary naringana ny zavatra velona rehetra izay tambonin'ny tany, hatramin'ny olona ka hatramin'ny biby fiompy sy ny zava-mandady na mikisaka ary ny voro-manidina; dia naringana tsy ho amin'ny tany ireny; ary Noa sy izay niara-nitoetra taminy tao anatin'ny sambo-fiara ihany no sisa velona.Ary nahery tambonin'ny tany dimam-polo amby zato andro ny rano."
mg_1,8,21,"Dia nandre ny hanitra ankasitrahana Jehovah, ka hoy Izy tam-pony: Tsy mba hanozona ny tany intsony noho ny amin'ny olona Aho; fa ny fisainan'ny fon'ny olona dia ratsy hatramin'ny fahazazany; ary tsy mba handringana ny velona rehetra intsony Aho tahaka izay nataoko.","Dia nandre ny hanitra ankasitrahana Jehovah, ka hoy Izy tam-pony: Tsy mba hanozona ny tany intsony noho ny amin'ny olona Aho; fa ny fisainan'ny fon'ny olona dia ratsy hatramin'ny fahazazany; ary tsy mba handringana ny velona rehetra intsony Aho tahaka izay nataoko.Raha mbola maharitra koa ny tany, dia tsy hanam-pitsaharana ny taom-pamafazana sy ny taom-pijinjana, ary ny hatsiaka sy ny hafanana ary ny fahavaratra sy ny ririnina,ary ny andro sy ny alina."
mg_1,9,28,Ary ny andro niainan'i Noa taorian'ny safo-drano dia dimam-polo amby telon-jato taona.,Ary ny andro niainan'i Noa taorian'ny safo-drano dia dimam-polo amby telon-jato taona.Ary ny andro rehetra niainan'i Noa dia dimam-polo amby sivin-jato taona; dia maty izy.
mg_1,10,31,"Ireo no zanak'i Sema, araka ny mpianakaviny, araka ny fiteniny, amin'ny taniny, araka ny fireneny.","Ireo no zanak'i Sema, araka ny mpianakaviny, araka ny fiteniny, amin'ny taniny, araka ny fireneny.Ireo no mpianakavin'ny zanak'i Noa, araka ny taranany, amin'ny fireneny; ary avy tamin'ireo no niavakavahan'ny firenena tambonin'ny tany taorian'ny safo-drano."
mg_1,11,31,"Ary Tera nitondra an'i Abrama zanany sy Lota zafiny, zanak'i Harana, ary Saray vinantoni-vavy, vadin'i Abrama zanany; dia niaraka taminy ireo ka niala tao Oran'ny Kaldeana hankany amin'ny tany Kanana; dia tonga tao Harana izy ka nonina tao.","Ary Tera nitondra an'i Abrama zanany sy Lota zafiny, zanak'i Harana, ary Saray vinantoni-vavy, vadin'i Abrama zanany; dia niaraka taminy ireo ka niala tao Oran'ny Kaldeana hankany amin'ny tany Kanana; dia tonga tao Harana izy ka nonina tao.Ary dimy amby roan-jato taona ny andro niainan'i Tera; dia maty tao Harana izy."
mg_1,12,19,"Nahoana ianao no nanao hoe: Anabaviko izy? ka nalaiko ho vady izy; koa ankehitriny, indro ny vadinao, ento izy, ka mandehana.","Nahoana ianao no nanao hoe: Anabaviko izy? ka nalaiko ho vady izy; koa ankehitriny, indro ny vadinao, ento izy, ka mandehana.Dia nomen'i Farao teny ny mpanompony sasany ny amin'i Abrama; ary dia nanatitra azy sy ny vadiny mbamin'ny fananany rehetra ireo."
mg_1,13,17,"Miaingà ianao, mandehana mitety ny tany, dia any amin'ny lavany sy any amin'ny sakany; fa homeko anao izy.","Miaingà ianao, mandehana mitety ny tany, dia any amin'ny lavany sy any amin'ny sakany; fa homeko anao izy.Ary Abrama nifindrafindra toby. dia nandeha ka nonina teo an-kazo terebintan'i Mamre, izay any Hebrona, ary nanorina alitara teo ho an'i Jehovah izy."
mg_1,14,23,"fa tsy handray na taretra na fehin-kapa aza amin'izay rehetra mety ho anao andrao hataonao hoe: Izaho no nampanan-karena an'i Abrama),","fa tsy handray na taretra na fehin-kapa aza amin'izay rehetra mety ho anao andrao hataonao hoe: Izaho no nampanan-karena an'i Abrama),afa-tsy izay efa nohanin'ny zatovo sy ny anjaran'ny olona izay niaraka tamiko, dia Anera sy Eskola ary Mamre; aoka horaisin'ireo ny anjarany."
