livre,chapitre,verset,similarite,notre_texte,texte_github
mg_1,2,7,0.90,"Ary vovo-tany no namoronan'i Jehovah Andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy*. [*Tonga manan'aina ny olona]","Ary vovo-tany no namoronan'i Jehovah Andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy."
mg_1,6,21,0.76,"Ary analao ho anao ny zavatra rehetra izay mety ho fihinana, ka angony ho eo aminao; dia ho fihinana ho anao sy ho an'ireo koa izany.","Ary analao ho anao ny zavatra rehetra izay mety ho fihinana, ka angòny ho eo aminao; dia ho fihinana ho anao sy ho an'ireo koa izany.Dia nataon'i Noa izany; araka izay rehetra nandidian'Andriamanitra azy no nataony."
mg_1,18,32,0.75,"Ary hoy izy: Aoka anie mba tsy ho tezitra Ianao, Tompo, fa hiteny izao indray mandeha izao ihany aho: Angamba folo no ho hita ao. Ary hoy Izy: Tsy mba handringana Aho noho ny folo.","Ary hoy izy: Aoka anie mba tsy ho tezitra Hianao, Tompo, fa hiteny izao indray mandeha izao ihany aho: Angamba folo no ho hita ao. Ary hoy Izy: Tsy mba handringana Aho noho ny folo.Dia lasa nandeha Jehovah, rehefa vita ny teny nataony tamin'i Abrahama; ary Abrahama niverina ho any amin'ny fonenany."
mg_1,37,35,0.80,"Dia avy ny zananilahy rehetra sy ny zananivavy rehetra mba hampionona azy, fa tsy nety nampiononina izy, fa hoy izy; Tsia, fa hidina misaona ho any amin'ny zanako any amin'ny fiainan-tsy hita aho. Ary dia mbola nitomany azy ny rainy.","Dia avy ny zananilahy rehetra sy ny zananivavy rehetra mba hampionona azy, fa tsy nety nampiononina izy, fa hoy izy; Tsia, fa hidina misaona ho any amin'ny zanako any amin'ny fiainan-tsi-hita aho. Ary dia mbola nitomany azy ny rainy.Ary ny Midianita nivarotra an'i Josefa tany Egypta tamin'i Potifara, tandapan'i Farao sady mpifehy ny mpiambina."
mg_10,2,18,0.92,"Ary mba teo koa izy telo lahy zanak'i Zeroia, dia Joaba sy Abisay ary Asahela; ary Asahela dia haingan-tongotra tahaka ny gazela* any an'efitra. [*Izahao II Samoela 1:19]","Ary mba teo koa izy telo lahy zanak'i Zeroia, dia Joaba sy Abisay ary Asahela; ary Asahela dia haingan-tongotra tahaka ny gazela any an-efitra.<n>[Izahao i. and. 19]</n>"
mg_10,2,27,0.93,"Ary hoy Joaba: Raha velona koa Andriamanitra, raha tsy ilay teninao*, dia efa lasa nody any naraina avokoa ny olona ka tsy nanenjika ny rahalahiny akory. [*Izaho II Samoela 2:14]","Ary hoy Joaba: Raha velona koa Andriamanitra, raha tsy ilay teninao, dia efa lasa nody any naraina avokoa ny olona ka tsy nanenjika ny rahalahiny akory.<n>[Izaho and. 14]</n>"
mg_10,6,8,0.94,"Ary dia tezitra* Davida noho ny namelezan'i Jehovah an'i Oza, ka dia nataony hoe Perez-oza** ny anaran'izany tany izany mandraka androany. [*Na: nalahelo] [**Perez-oza = Famelezana an'i Oza]","Ary dia tezitra Davida noho ny namelezan'i Jehovah an'i Oza, ka dia nataony hoe Perez-oza ny anaran'izany tany izany mandraka androany.<n>[Na: nalahelo]</n><n>[Perez-oza = Famelezana an'i Oza]</n>"
mg_10,7,6,0.93,"Fa tsy mbola nitoetra an-trano Aho hatramin'ny nitondrako ny Zanak'Isiraely niakatra avy tany Egypta ka mandraka androany, fa nifindrafindra toby* sy nifindrafindra toerana**. [*Hebreo: lay] [**Hebreo: tabernakely]","Fa tsy mbola nitoetra an-trano Aho hatramin'ny nitondrako ny Zanak'Isiraely niakatra avy tany Egypta ka mandraka androany, fa nifindrafindra toby sy nifindrafindra toerana. <n>[Heb. lay]</n><n>[Heb. tabernakely]</n>"
mg_10,7,11,0.94,sy tahaka ny hatramin'ny nanendreko mpitsara ho mpifehy ny Isiraely oloko; ary hampiadana* anao ho afaka amin'ny fahavalonao rehetra Aho. Ary lazain'i Jehovah aminao koa fa hanome taranaka** ho anao Izy. [*Hebreo: nampiadana] [**Hebreo: hanao trano],sy tahaka ny hatramin'ny nanendreko mpitsara ho mpifehy ny Isiraely oloko; ary hampiadana anao ho afaka amin'ny fahavalonao rehetra Aho. Ary lazain'i Jehovah aminao koa fa hanome taranaka ho anao Izy.<n>[Heb. nampiadana]</n><n>[Heb. hanao trano]</n>
mg_10,7,28,0.57,"Ary noho izany, Jehovah Tompo o, satria Ianao no Andriamanitra, ary marina ny teninao, ary Ianao efa nilaza izany zava-tsoa izany ny amin'ny mpanomponao,","Ary noho izany, Jehovah Tompo ô, satria Hianao no Andriamanitra, ary marina ny teninao, ary Hianao efa nilaza izany zava-tsoa izany ny amin'ny mpanomponao,dia aoka ho sitrakao ny hitahy ny taranaky ny mpanomponao haharitra mandrakizay eo anatrehanao; fa Hianao, Jehovah Tompo ô, efa niteny izany; eny, aoka ny fitahianao no hitahianao ny taranaky ny mpanomponao mandrakizay."
mg_10,8,18,0.92,"ary Benaia, zanak'i Joiada, no mpifehy ny mpiambina andriana*; ary ny zanak'i Davida no mpanolo-tsaina**. [*Hebreo: Kerenita sy Peletita] [**Na: mpisorona]","ary Benaia, zanak'i Joiada, no mpifehy ny mpiambina andriana; ary ny zanak'i Davida no mpanolo-tsaina. <n>[Heb. Kerenita sy Peletita]</n><n>[Na: mpisorona]</n>"
mg_10,12,30,0.58,"Dia nesoriny ny satro-boninahitr'ilay mpanjaka* teny an-dohany talenta volamena iray no lanjany, sady nisy vato soa, ary dia nisatrohan'i Davida. Ary navoakany tao an-tanàna ny babo azo, ka be dia be ireny. [*Na: Malkama; izahao Zefania 1:5]","Dia nesoriny ny satro-boninahitr'ilay mpanjaka teny an-dohany talenta volamena iray no lanjany, sady nisy vato soa, ary dia nisatrohan'i Davida. Ary navoakany tao an-tanàna ny babo azo, ka be dia be ireny.<n>[Na: Malkama; izahao Zef. i. 5]</n>Ary dia navoakany koa ny olona teo ka nataony teo amin'ny tsofa sy ny fangao-by lehibe ary ny famaky vy, ary nataony tao anatin'ny fandoroam-biriky; toy izany no nataony tamin'ny tanànan'ny taranak'i Amona rehetra. Ary Davida sy ny vahoaka rehetra dia niverina nankany Jerosalema.<n>[Na: (nampiasaina tamin')]</n>"
mg_10,17,23,0.18,"Ary nony hitan'i Ahitofela fa tsy narahina ny hevitra nataony, dia nasiany lasely ny borikiny, dia niainga izy dia nody tany an-tranony tany an-tanànany; ary nanafatra ny ankohonany izy, dia nanaton-tena, ka dia maty ary nalevina tao amin'ny fasan-drainy.","Ary nony hitan'i Ahitofela fa narahina ny hevitra nataony, dia nasiany lasely ny borikiny, dia niainga izy dia nody tany an-tranony tany an-tanànany; ary nanafatra ny ankohonany izy, dia nanaton-tena, ka dia maty ary nalevina tao amin'ny fasan-drainy."
mg_10,17,28,0.49,Avy mitondra fandriana sy bakoly sy vilany tany sy vary hordea sy koba sy lango sy tsaramaso sy voanemba* ary voanemba voaendy [*erva lenta],Avy mitondra fandriana sy bakoly sy vilany tany sy vary hordea sy koba sy lango sy tsaramaso sy voanemba ary voanemba voaendy <n>[erva lenta]</n>sy tantely sy rononomandry sy ondry ary zanak'omby ho an'i Davida sy ny olona nanaraka azy; fa hoy izy: Noana sy sasatra ary mangetaheta atỳ an-efitra ny vahoaka.<n>[Na: rononomandrin'omby]</n>
mg_10,19,27,0.92,"Fa hoy izy: Ry mpanjaka tompoko, nofitahin'ny mpanompoko aho; Fa hoy izaho mpanomponao : Hanisy lasely ny boriky aho hitaingenako ka hankany amin'ny mpanjaka; fa malemy tongotra ny mpanomponao.","Fa hoy izy: Ry mpanjaka tompoko, nofitahin'ny mpanompoko aho: Hanisy lasely ny boriky aho hitaingenako ka hankany amin'ny mpanjaka; fa malemy tongotra ny mpanomponao."
