livre,chapitre,verset,texte_notre_source
mg_40,17,21,(Kanefa iny karazana iny tsy mivoaka raha tsy avoaka amin'ny fivavahana sy ny fifadian-kanina)
mg_41,7,16,"Raha misy manan-tsofina ho enti-mihaino, aoka izy hihaino"
mg_41,9,44,"any amin'ny kankana tsy maty, ary ny afo tsy vonoina"
mg_41,9,46,"any amin'ny afo tsy azo vonoina; any ny kankany tsy maty, ary ny afo tsy vonoina"
mg_41,11,26,"(Ampio hoe:) Fa raha ianareo tsy mamela heloka, ny Rainareo Izay any an-danitra kosa tsy hamela ny helokareo"
mg_41,15,28,Dia tanteraka ny Soratra Masina izay manao hoe: Ary natao ho isan'ny mpanota Izy (Isaia 53:12)
mg_41,16,9,"Ary rehefa nitsangana tamin'ny marain'ny andro voalohany amin'ny herinandro Jesoa, dia niseho voalohany tamin'i Maria Magdalena, ilay namoahany demonia fito, Izy]"
mg_41,16,10,"Ary Maria nandeha ka nilaza tamin'ireo efa nomba an'i Jesoa, izay mbola nisaona sy nitomany"
mg_41,16,11,"Ary izy ireo, na dia nandre aza fa velona Izy sady efa hitan-dravehivavy, dia mbola tsy nety nino ihany"
mg_41,16,12,"Ary taorian'izany Jesoa dia niseho tamin'ny endrika hafa tamin'ny roa lahy aminy, izay nankany an-tsaha"
mg_41,16,13,Ary izy ireo nandeha ka nilaza tamin'ny namany; fa na dia ireo aza tsy ninoany koa
mg_41,16,14,"Rehefa afaka izany, dia niseho tamin'ny iraika ambin'ny folo lahy Jesoa, raha nipetraka nihinana ireo; ary izy nanome tsiny azy noho ny tsy finoany sy ny hamafin'ny fony, satria tsy ninoany ireo efa nahita Azy, rehefa nitsangana Izy"
mg_41,16,15,"Ary hoy Izy taminy: Mandehana any amin'izao tontolo izao ianareo, ka mitoria ny filazantsara amin'ny olombelona rehetra"
mg_41,16,16,Izay mino sy atao batisa no hovonjena; fa izay tsy mety mino no hohelohina
mg_41,16,17,Ary izao famantarana izao no hanaraka izay mino: hamoaka demonia amin'ny anarako izy; hiteny amin'ny fiteny izay tsy mbola hainy izy;
mg_41,16,18,"handray menarana izy; ary na dia misotro zava-mahafaty aza izy, dia tsy hampaninona azy izany; hametra-tanana amin'ny marary izy, dia ho sitrana ireny"
mg_41,16,20,"Fa izy ireo kosa dia lasa ka nitori-teny eny tontolo eny, ary ny Tompo niara-niasa taminy ka nanamarina ny teny tamin'ny famantarana izay nomba azy. Amena"
mg_42,23,17,17 Fa tsy maintsy mandefa ny anankiray ho an'ny olona izy amin'ny andro firavoravoana
mg_43,5,4,"(Fa nisy anjely nidina tany amin'ny farihy indraindray ka nampihetsika ny rano; koa izay iray niroboka aloha, rehefa nihetsika ny rano, dia sitrana na inona na inona no aretina nanjo azy)"
mg_43,7,53,Dia samy lasa nody ho any an-tranony avy izy rehetra;
mg_43,8,1,fa Jesoa kosa nankany an-tendrombohitra Oliva
mg_43,8,2,"Ary nony maraina koa dia nankeo an-kianjan'ny tempoly indray Jesoa, ary ny vahoaka rehetra nanatona Azy, dia nipetraka Izy ka nampianatra azy"
mg_43,8,3,"Ary nisy vehivavy anankiray azo nijangajanga nentin'ny mpanora-dalàna sy ny Fariseo; ary rehefa napetrany teo afovoany izy,"
mg_43,8,4,"dia hoy ireo taminy: Mpampianatra o, ity vehivavy ity azo olan-tanana nijangajanga"
mg_43,8,5,Ary ao amin'ny lalàna Mosesy dia nandidy antsika fa hotoraham-bato izay vehivavy manao toy izany (Deoteronomia 22:22-24) fa ahoana kosa hoy Ianao?
mg_43,8,6,"Izany no nolazainy hakany fanahy Azy, mba hahazoany izay hiampangany Azy. Fa Jesoa niondrika ka nanoratra teo amin'ny tany tamin'ny rantsan-tànany"
mg_43,8,7,"Ary raha naharitra nanontany Azy ireo, dia nitraka Izy ka nanao taminy hoe: Izay tsy nanota eo aminareo no aoka hitora-bato azy voalohany"
mg_43,8,8,Dia niondrika indray Izy ka nanoratra teo amin'ny tany tamin'ny rantsan-tànany
mg_43,8,9,"Ary raha nandre izany izy, dia nivoaka tsirairay hatramin'ny zokinjokiny ka hatramin'ny zandrinjandriny; ary Jesoa irery ihany no sisa teo sy ilay vehivavy teo"
mg_43,8,10,"Ary rehefa nitraka Jesoa, dia hoy Izy taminy; Ravehivavy, aiza ireny? Tsy nisy nanameloka anao va?"
mg_43,8,11,"Ary hoy izy: Tsy misy, Tompoko. Dia hoy Jesoa: Izaho koa dia tsy manameloka anao; mandehana, ary amin'izao sisa izao dia aza manota intsony"
mg_44,8,37,"Dia hoy Filipo: raha mino amin'ny fonao rehetra ianao, dia azo atao ihany. Ary namaly izy ka nanao hoe: Mino aho fa Kristy no Zanak'Andriamanitra"
mg_44,15,34,Nefa mbola sitrak'i Silasy ny hitoetra ao
mg_44,24,7,"Fa tonga Lysia, mpifehy arivo, dia nanao an-keriny ka naka azy teo an-tananay. Ary nasainy nankaty aminao ny mpiampanga azy"
mg_44,28,29,"Ary rehefa nilaza izany izy, dia lasa ny Jiosy ka niady hevitra fatratra"
mg_45,16,24,Ho aminareo rehetra anie ny fahasoavan'i Jesoa Kristy Tompontsika Amena
